,start,end,duration
0,2022-09-22 00:00:00,2022-11-24 07:02:02,63 days 07:02:02
1,2022-11-24 07:43:24,2022-11-25 06:36:49,0 days 22:53:25
2,2022-11-25 08:02:18,2022-11-26 06:19:49,0 days 22:17:31
3,2022-11-26 08:13:03,2022-11-27 06:05:48,0 days 21:52:45
4,2022-11-27 08:20:54,2022-11-28 05:53:31,0 days 21:32:37
5,2022-11-28 08:27:07,2022-11-29 05:42:24,0 days 21:15:17
6,2022-11-29 08:32:14,2022-11-30 05:32:09,0 days 20:59:55
7,2022-11-30 08:36:32,2022-12-01 05:22:35,0 days 20:46:03
8,2022-12-01 08:40:14,2022-12-02 05:13:36,0 days 20:33:22
9,2022-12-02 08:43:26,2022-12-03 05:05:05,0 days 20:21:39
10,2022-12-03 08:46:14,2022-12-04 04:56:59,0 days 20:10:45
11,2022-12-04 08:48:41,2022-12-05 04:49:14,0 days 20:00:33
12,2022-12-05 08:50:49,2022-12-06 04:41:49,0 days 19:51:00
13,2022-12-06 08:52:43,2022-12-07 04:34:41,0 days 19:41:58
14,2022-12-07 08:54:23,2022-12-08 04:27:49,0 days 19:33:26
15,2022-12-08 08:55:50,2022-12-09 04:21:11,0 days 19:25:21
16,2022-12-09 08:57:07,2022-12-10 04:14:47,0 days 19:17:40
17,2022-12-10 08:58:14,2022-12-11 04:08:34,0 days 19:10:20
18,2022-12-11 08:59:12,2022-12-12 04:02:33,0 days 19:03:21
19,2022-12-12 09:00:01,2022-12-13 03:56:43,0 days 18:56:42
20,2022-12-13 09:00:43,2022-12-14 03:51:03,0 days 18:50:20
21,2022-12-14 09:01:19,2022-12-15 03:45:32,0 days 18:44:13
22,2022-12-15 09:01:47,2022-12-16 03:40:10,0 days 18:38:23
23,2022-12-16 09:02:10,2022-12-17 03:34:56,0 days 18:32:46
24,2022-12-17 09:02:28,2022-12-18 03:29:51,0 days 18:27:23
25,2022-12-18 09:02:40,2022-12-19 03:24:53,0 days 18:22:13
26,2022-12-19 09:02:47,2022-12-20 03:20:03,0 days 18:17:16
27,2022-12-20 09:02:50,2022-12-21 03:15:19,0 days 18:12:29
28,2022-12-21 09:02:48,2022-12-22 03:10:43,0 days 18:07:55
29,2022-12-22 09:02:42,2022-12-23 03:06:13,0 days 18:03:31
30,2022-12-23 09:02:33,2022-12-24 03:01:49,0 days 17:59:16
31,2022-12-24 09:02:20,2022-12-25 02:57:31,0 days 17:55:11
32,2022-12-25 09:02:03,2022-12-26 02:53:19,0 days 17:51:16
33,2022-12-26 09:01:43,2022-12-27 02:49:13,0 days 17:47:30
34,2022-12-27 09:01:21,2022-12-28 02:45:12,0 days 17:43:51
35,2022-12-28 09:00:55,2022-12-29 02:41:16,0 days 17:40:21
36,2022-12-29 09:00:26,2022-12-30 02:37:25,0 days 17:36:59
37,2022-12-30 08:59:55,2022-12-31 02:33:39,0 days 17:33:44
38,2022-12-31 08:59:21,2023-01-01 02:29:58,0 days 17:30:37
39,2023-01-01 08:58:44,2023-01-02 02:26:20,0 days 17:27:36
40,2023-01-02 08:58:06,2023-01-03 02:22:48,0 days 17:24:42
41,2023-01-03 08:57:25,2023-01-04 02:19:19,0 days 17:21:54
42,2023-01-04 08:56:42,2023-01-05 02:15:53,0 days 17:19:11
43,2023-01-05 08:55:57,2023-01-06 02:12:32,0 days 17:16:35
44,2023-01-06 08:55:10,2023-01-07 02:09:14,0 days 17:14:04
45,2023-01-07 08:54:22,2023-01-08 02:06:00,0 days 17:11:38
