,start,end,duration
0,2022-09-22 00:00:00,2022-10-14 03:33:36,22 days 03:33:36
1,2022-10-14 04:04:28,2022-10-15 03:13:22,0 days 23:08:54
2,2022-10-15 04:16:00,2022-10-16 02:58:24,0 days 22:42:24
3,2022-10-16 04:22:14,2022-10-17 02:45:18,0 days 22:23:04
4,2022-10-17 04:26:35,2022-10-18 02:33:13,0 days 22:06:38
5,2022-10-18 04:29:55,2022-10-19 02:21:47,0 days 21:51:52
6,2022-10-19 04:32:36,2022-10-20 02:10:50,0 days 21:38:14
7,2022-10-20 04:34:48,2022-10-21 02:00:15,0 days 21:25:27
8,2022-10-21 04:36:39,2022-10-22 01:49:58,0 days 21:13:19
9,2022-10-22 04:38:14,2022-10-23 01:39:56,0 days 21:01:42
10,2022-10-23 04:39:35,2022-10-24 01:30:06,0 days 20:50:31
11,2022-10-24 04:40:45,2022-10-25 01:20:29,0 days 20:39:44
12,2022-10-25 04:41:46,2022-10-26 01:11:02,0 days 20:29:16
13,2022-10-26 04:42:38,2022-10-27 01:01:46,0 days 20:19:08
14,2022-10-27 04:43:23,2022-10-28 00:52:40,0 days 20:09:17
15,2022-10-28 04:44:02,2022-10-29 00:43:43,0 days 19:59:41
16,2022-10-29 04:44:35,2022-10-30 00:34:56,0 days 19:50:21
17,2022-10-30 04:45:03,2022-10-31 00:26:18,0 days 19:41:15
18,2022-10-31 04:45:25,2022-11-01 00:17:49,0 days 19:32:24
19,2022-11-01 04:45:43,2022-11-02 00:09:29,0 days 19:23:46
20,2022-11-02 04:45:57,2022-11-03 00:01:18,0 days 19:15:21
21,2022-11-03 04:46:06,2022-11-03 23:53:15,0 days 19:07:09
22,2022-11-04 04:46:11,2022-11-04 23:45:20,0 days 18:59:09
23,2022-11-05 04:46:13,2022-11-05 23:37:34,0 days 18:51:21
24,2022-11-06 04:46:11,2022-11-06 23:29:55,0 days 18:43:44
25,2022-11-07 04:46:07,2022-11-07 23:22:24,0 days 18:36:17
26,2022-11-08 04:45:58,2022-11-08 23:15:00,0 days 18:29:02
27,2022-11-09 04:45:47,2022-11-09 23:07:44,0 days 18:21:57
28,2022-11-10 04:45:34,2022-11-10 23:00:35,0 days 18:15:01
29,2022-11-11 04:45:17,2022-11-11 22:53:33,0 days 18:08:16
30,2022-11-12 04:44:59,2022-11-12 22:46:38,0 days 18:01:39
31,2022-11-13 04:44:37,2022-11-13 22:39:50,0 days 17:55:13
32,2022-11-14 04:44:14,2022-11-14 22:33:08,0 days 17:48:54
33,2022-11-15 04:43:48,2022-11-15 22:26:33,0 days 17:42:45
34,2022-11-16 04:43:21,2022-11-16 22:20:05,0 days 17:36:44
35,2022-11-17 04:42:51,2022-11-17 22:13:43,0 days 17:30:52
36,2022-11-18 04:42:20,2022-11-18 22:07:28,0 days 17:25:08
37,2022-11-19 04:41:47,2022-11-19 22:01:19,0 days 17:19:32
38,2022-11-20 04:41:12,2022-11-20 21:55:17,0 days 17:14:05
39,2022-11-21 04:40:35,2022-11-21 21:49:21,0 days 17:08:46
40,2022-11-22 04:39:57,2022-11-22 21:43:31,0 days 17:03:34
41,2022-11-23 04:39:17,2022-11-23 21:37:47,0 days 16:58:30
42,2022-11-24 04:38:36,2022-11-24 21:32:10,0 days 16:53:34
43,2022-11-25 04:37:53,2022-11-25 21:26:39,0 days 16:48:46
44,2022-11-26 04:37:09,2022-11-26 21:21:14,0 days 16:44:05
45,2022-11-27 04:36:23,2022-11-27 21:15:56,0 days 16:39:33
46,2022-11-28 04:35:35,2022-11-28 21:10:43,0 days 16:35:08
47,2022-11-29 04:34:47,2022-11-29 21:05:36,0 days 16:30:49
48,2022-11-30 04:33:57,2022-11-30 21:00:35,0 days 16:26:38
49,2022-12-01 04:33:05,2022-12-01 20:55:40,0 days 16:22:35
50,2022-12-02 04:32:12,2022-12-02 20:50:50,0 days 16:18:38
51,2022-12-03 04:31:18,2022-12-03 20:46:06,0 days 16:14:48
52,2022-12-04 04:30:22,2022-12-04 20:41:26,0 days 16:11:04
