source,target,ibd_sum,link_col
0,1,9.77,#ffffff
0,13,26.5,#ffffff
0,15,8.32,#ffffff
0,528,8.64,#ffffff
1,8,8.14,#ffffff
1,9,15.49,#ffffff
1,10,8.46,#ffffff
1,12,12.35,#ffffff
1,140,8.01,#ffffff
1,184,9.91,#ffffff
1,212,8.17,#ffffff
1,283,8.68,#ffffff
1,300,8.15,#ffffff
1,334,13.65,#ffffff
1,385,8.53,#ffffff
13,7,9.34,#ffffff
13,9,44.42,#ffffff
13,15,49.69,#ffffff
13,283,11.29,#ffffff
13,354,11.56,#ffffff
15,2,18.07,#ffffff
15,3,42.26,#ffffff
15,5,19.68,#ffffff
15,6,8.39,#ffffff
15,9,32.46,#ffffff
15,11,8.51,#ffffff
15,14,15.67,#ffffff
15,55,8.61,#ffffff
15,196,14.36,#ffffff
15,257,12.25,#ffffff
15,354,8.96,#ffffff
15,384,18.13,#ffffff
15,481,13.18,#ffffff
528,12,8.21,#ffffff
528,185,16.48,#ffffff
528,186,18.09,#ffffff
528,193,10.82,#ffffff
528,201,25.54,#ffffff
528,205,29.28,#ffffff
528,212,16.51,#ffffff
528,254,18.26,#ffffff
528,255,54.64,#ffffff
528,257,36.96,#ffffff
528,261,17.19,#ffffff
528,270,17.01,#ffffff
528,275,47.54,#ffffff
528,283,25.53,#ffffff
528,296,44.98,#ffffff
528,303,15.44,#ffffff
528,324,42.25,#ffffff
528,325,19.11,#ffffff
528,330,10.44,#ffffff
528,346,14.74,#ffffff
528,352,33.82,#ffffff
528,354,30.7,#ffffff
528,355,23.02,#ffffff
528,356,27.12,#ffffff
528,365,65.53,#ffffff
528,366,53.09,#ffffff
528,367,32.19,#ffffff
528,383,21.54,#ffffff
528,384,44.07,#ffffff
528,385,8.01,#ffffff
528,404,11.01,#ffffff
528,411,11.57,#ffffff
528,413,8.75,#ffffff
528,415,27.6,#ffffff
528,459,17.58,#ffffff
528,466,37.58,#ffffff
528,468,15.36,#ffffff
528,472,9.29,#ffffff
528,476,40.64,#ffffff
528,479,9.84,#ffffff
528,481,15.65,#ffffff
528,484,8.88,#ffffff
528,489,18.07,#ffffff
528,509,10.24,#ffffff
528,511,10.34,#ffffff
528,516,25.96,#ffffff
528,518,37.01,#ffffff
528,532,16.24,#ffffff
528,534,19.06,#ffffff
528,548,8.91,#ffffff
528,555,27.04,#ffffff
528,556,46.79,#ffffff
8,2,16.35,#ffffff
8,5,8.41,#ffffff
8,9,21.87,#ffffff
8,10,17.23,#ffffff
8,11,59.79,#ffffff
8,209,14.9,#ffffff
8,299,25.75,#ffffff
8,474,15.7,#ffffff
8,481,8.68,#ffffff
9,7,17.09,#ffffff
9,10,37.62,#ffffff
9,176,8.17,#ffffff
9,354,17.91,#ffffff
9,384,21.1,#ffffff
9,385,8.32,#ffffff
9,481,30.46,#ffffff
9,500,24.33,#ffffff
9,524,8.35,#ffffff
9,552,8.23,#ffffff
10,3,16.68,#ffffff
10,4,16.17,#ffffff
10,5,17.0,#ffffff
10,7,26.27,#ffffff
10,21,8.07,#ffffff
10,266,16.84,#ffffff
10,483,8.58,#ffffff
10,498,8.45,#ffffff
10,513,8.26,#ffffff
10,539,8.63,#ffffff
12,4,35.91,#ffffff
12,5,15.77,#ffffff
12,205,9.01,#ffffff
12,270,8.93,#ffffff
12,489,17.83,#ffffff
12,516,9.12,#ffffff
140,184,8.63,#ffffff
140,334,9.19,#ffffff
184,148,8.34,#ffffff
184,150,17.76,#ffffff
184,202,8.52,#ffffff
184,207,9.77,#ffffff
184,288,8.8,#ffffff
184,291,8.1,#ffffff
184,348,8.44,#ffffff
184,368,11.13,#ffffff
184,416,14.82,#ffffff
184,449,8.04,#ffffff
184,526,9.41,#ffffff
184,535,32.21,#ffffff
184,557,9.37,#ffffff
184,566,22.88,#ffffff
184,334,9.95,#ffffff
212,125,9.67,#ffffff
212,185,10.4,#ffffff
212,192,20.0,#ffffff
212,201,23.19,#ffffff
212,205,23.63,#ffffff
212,206,32.63,#ffffff
212,209,21.8,#ffffff
212,266,17.96,#ffffff
212,270,18.77,#ffffff
212,286,8.06,#ffffff
212,293,24.84,#ffffff
212,294,27.74,#ffffff
212,299,14.88,#ffffff
212,300,15.79,#ffffff
212,303,9.32,#ffffff
212,319,24.34,#ffffff
212,322,50.06,#ffffff
212,331,13.78,#ffffff
212,340,29.01,#ffffff
212,350,24.73,#ffffff
212,352,44.4,#ffffff
212,355,22.68,#ffffff
212,366,8.27,#ffffff
212,367,10.63,#ffffff
212,384,46.73,#ffffff
212,385,20.03,#ffffff
212,404,31.98,#ffffff
212,407,10.22,#ffffff
212,413,12.36,#ffffff
212,415,12.4,#ffffff
212,468,20.39,#ffffff
212,479,25.52,#ffffff
212,483,23.14,#ffffff
212,486,25.34,#ffffff
212,579,13.76,#ffffff
212,489,18.29,#ffffff
212,500,44.42,#ffffff
212,511,33.21,#ffffff
212,513,17.21,#ffffff
212,516,26.45,#ffffff
212,518,8.73,#ffffff
212,524,25.96,#ffffff
212,530,10.72,#ffffff
212,543,16.6,#ffffff
212,548,15.24,#ffffff
212,552,10.81,#ffffff
212,555,19.67,#ffffff
212,557,17.51,#ffffff
212,568,8.3,#ffffff
212,369,8.55,#ffffff
283,98,8.25,#ffffff
283,125,49.93,#ffffff
283,174,53.03,#ffffff
283,179,24.14,#ffffff
283,185,28.5,#ffffff
283,186,20.02,#ffffff
283,188,10.98,#ffffff
283,192,23.85,#ffffff
283,254,35.83,#ffffff
283,255,18.28,#ffffff
283,261,15.33,#ffffff
283,270,19.7,#ffffff
283,273,8.45,#ffffff
