Name,Length,Name,Length,Name,Length,Name,Length,Name,Length,Name,Length
CDAS_BACSU,207,DAPAT_CHLTR,394,ACNA_ECOLI,891,PYRG_MYCMS,532,ABC1_MYCTU,865,GLMU_PROMA,452
BACB_BACSU,235,PYRG_CHLTR,539,ALSE_ECOLI,231,HPRK_MYCMS,313,AP4A_MYCTU,195,Q7VAU0_PROMA,519
ACNA_BACSU,909,CH60_CHLTR,544,ALLD_ECOLI,349,IXTPA_MYCMS,200,BLAC_MYCTU,307,PSBA_PROMA,360
CHAA_BACSU,351,RIBBA_CHLTR,424,AZOR_ECOLI,201,Q6MTY5_MYCMS,363,SODC_MYCTU,240,RLMN_PROMA,348
ZUR_BACSU,145,CADD_CHLTR,231,CAS6_ECOLI,199,ACKA_MYCMS,393,PPMNT_MYCTU,874,KPRS_PROMA,327
RNM5_BACSU,186,KDTA_CHLTR,431,CAS2_ECOLI,94,ENO_MYCMS,451,RPFB_MYCTU,362,MURE_PROMA,503
PDXS_BACSU,294,RIBD_CHLTR,375,COABC_ECOLI,406,METK_MYCMS,387,RSLA_MYCTU,250,Q7VBZ9_PROMA,546
RIBD_BACSU,361,MUDD_CHLTR,803,ACCA_ECOLI,319,SYS_MYCMS,422,PKNL_MYCTU,399,PYRG_PROMA,551
THIE_BACSU,222,GLYA_CHLTR,497,CAS1_ECOLI,305,KAD_MYCMS,213,PIPS_MYCTU,217,ILVC_PROMA,331
PUR1_BACSU,476,IXTPA_CHLTR,209,ADEP_ECOLI,445,PURA_MYCMS,432,CPNT_MYCTU,846,Q7VDW0_PROMA,428
TAGD_BACSU,129,MURE_CHLTR,483,ALKH_ECOLI,213,FOLD_MYCMS,288,CYSM_MYCTU,323,PANCY_PROMA,519
RSIW_BACSU,208,ARODE_CHLTR,478,BIOA_ECOLI,429,RNC_MYCMS,232,DLDH_MYCTU,464,IXTPA_PROMA,200
ACUA_BACSU,210,KAD_CHLTR,245,BCSA_ECOLI,872,DNAJ_MYCMS,372,A85C_MYCTU,340,DHAS_PROMA,343
BACG_BACSU,259,PCKG_CHLTR,599,CHBG_ECOLI,249,COAD_MYCMS,140,ALKA_MYCTU,496,Q7TV99_PROMA,407
GDPP_BACSU,659,LPXD_CHLTR,354,BTUB_ECOLI,614,UPP_MYCMS,207,CSOR_MYCTU,119,PURT_PROMA,393
ILVE2_BACSU,363,FOLKP_CHLTR,450,BAMA_ECOLI,810,LON_MYCMS,796,CYSK2_MYCTU,372,FPG_PROMA,283
IOLA_BACSU,487,O84208_CHLTR,553,BCP_ECOLI,156,GPMI_MYCMS,531,ARFA_MYCTU,326,ENO_PROMA,432
GPMI_BACSU,511,INCA_CHLTR,273,CAS3_ECOLI,888,GLYA_MYCMS,413,CH10_MYCTU,100,ARGJ_PROMA,413
KAMA_BACSU,471,CDUB1_CHLTR,418,ACRA_ECOLI,397,PTC_MYCMS,365,BIOF1_MYCTU,386,KAIC_PROMA,501
KPRS_BACSU,317,RECB_CHLTR,1026,AMPH_ECOLI,385,SYI_MYCMS,915,CP121_MYCTU,396,MURA1_PROMA,457
MCSB_BACSU,363,SYDND_CHLTR,582,AMY1_ECOLI,676,Q6MTW5_MYCMS,395,AMACR_MYCTU,360,MURA2_PROMA,427
NAMA_BACSU,338,NQRF_CHLTR,431,ALLC_ECOLI,411,TPIS_MYCMS,248,BIOD_MYCTU,226,PURL_PROMA,793
RACX_BACSU,227,ENO_CHLTR,424,ALKB_ECOLI,216,GLPK_MYCMS,505,CAEA_MYCTU,520,PSAA_PROMA,773
NADE_BACSU,272,CDUB2_CHLTR,339,BETA_ECOLI,556,Q6MUJ2_MYCMS,648,CH601_MYCTU,539,METK_PROMA,410
RECU_BACSU,206,LPXG_CHLTR,329,CHRR_ECOLI,188,Q6MT97_MYCMS,898,ACEA_MYCTU,428,UCRI_PROMA,178
GLCT_BACSU,281,GPDA_CHLTR,334,ACCD_ECOLI,304,MNMA_MYCMS,375,CMAS2_MYCTU,302,SYS_PROMA,425
ALBG_BACSU,233,ACPS_CHLTR,119,A0A385XJN2_ECOLI,86,APT_MYCMS,170,ARFB_MYCTU,50,AROC_PROMA,362
ALDY_BACSU,485,BDBC_CHLTR,135,A0A385XK32_ECOLI,89,Q6MRT5_MYCMS,152,BE_MYCTU,526,ATP6_PROMA,241
AZR_BACSU,174,6PGD_CHLTR,480,ALAA_ECOLI,405,Q6MS80_MYCMS,286,CDTS_MYCTU,289,CH602_PROMA,545
ACPK_BACSU,82,TRUA_CHLTR,267,ARTP_ECOLI,242,Q6MUD4_MYCMS,557,CHLEP_MYCTU,413,CH601_PROMA,563
AMJ_BACSU,269,Y288_CHLTR,563,BIOP_ECOLI,299,Q6MRU7_MYCMS,326,CDH_MYCTU,260,ATPD_PROMA,183
ARTM_BACSU,240,Y538_CHLTR,238,BGLA_ECOLI,479,Q6MRT8_MYCMS,97,CLPX_MYCTU,426,APT_PROMA,172
ATPB_BACSU,473,RUVC_CHLTR,170,BOLA_ECOLI,105,Q6MRU8_MYCMS,49,ALF_MYCTU,344,CCS1_PROMA,429
BIOW_BACSU,259,PMPC_CHLTR,1770,BORD_ECOLI,97,Q6MRU6_MYCMS,253,ARFC_MYCTU,175,ACCD_PROMA,292
CADA_BACSU,702,PMPD_CHLTR,1531,C561_ECOLI,176,Q6MRT7_MYCMS,258,BPOC_MYCTU,262,PYRB_PROMA,338
CATE_BACSU,686,RIR1_CHLTR,1047,CAID_ECOLI,261,Q6MSG7_MYCMS,133,BIOF2_MYCTU,771,RL31_PROMA,94
ARAL_BACSU,272,PYRH_CHLTR,245,CECR_ECOLI,223,Q6MRV0_MYCMS,62,CADI_MYCTU,152,SURE_PROMA,262
BMR2_BACSU,400,RL7_CHLTR,130,CLSC_ECOLI,473,Q6MRU2_MYCMS,166,3MGH_MYCTU,203,PYRH_PROMA,237
BSHB2_BACSU,221,PT1_CHLTR,571,ACPT_ECOLI,195,Q6MU05_MYCMS,286,AMPA_MYCTU,515,QUEF_PROMA,135
CCDB_BACSU,120,RL33_CHLTR,52,ACUI_ECOLI,324,Q6MRV1_MYCMS,557,ARGJ_MYCTU,404,RIMP_PROMA,155
ACP_BACSU,77,RL31B_CHLTR,108,ADIA_ECOLI,755,SYK_MYCMS,500,AROC_MYCTU,401,RPOC2_PROMA,1367
BCCP_BACSU,159,RS11_CHLTR,132,ASCB_ECOLI,474,SYC_MYCMS,441,ATPG_MYCTU,305,RPOZ_PROMA,75
CCDC_BACSU,160,SYE_CHLTR,506,CCMC_ECOLI,245,RL11_MYCMS,142,BLAI_MYCTU,138,RBFA_PROMA,130
ACOA_BACSU,333,TRHO_CHLTR,327,CEDA_ECOLI,80,RL22_MYCMS,111,CARD_MYCTU,162,RL10_PROMA,175
ARSC_BACSU,139,NUSB_CHLTR,168,ARAE_ECOLI,472,SECA_MYCMS,944,AFTA_MYCTU,643,RL22_PROMA,124
ATP6_BACSU,244,RL6_CHLTR,183,AROB_ECOLI,362,PGK_MYCMS,404,AMI3_MYCTU,473,SEPF_PROMA,189
BCRC_BACSU,193,SYA_CHLTR,875,AROF_ECOLI,356,SYD_MYCMS,574,BFR_MYCTU,159,RF1_PROMA,365
CADE_BACSU,285,TARP_CHLTR,1005,BGLH_ECOLI,538,RL1_MYCMS,226,C135A_MYCTU,449,RL24_PROMA,118
6PGDH_BACSU,468,TRMB_CHLTR,224,CAN_ECOLI,220,RLMH_MYCMS,155,CAEB_MYCTU,520,RUVA_PROMA,222
BDBA_BACSU,137,RL20_CHLTR,123,CHBR_ECOLI,280,RS11_MYCMS,129,ACYP_MYCTU,93,TRPB_PROMA,416
BSAP_BACSU,455,RL25_CHLTR,185,BTSR_ECOLI,239,TMFO2_MYCMS,438,P96234_MYCTU,163,PSAL_PROMA,199
CAH_BACSU,318,RPIA_CHLTR,242,CBEA_ECOLI,122,RL17_MYCMS,119,P96354_MYCTU,415,PSBJ_PROMA,65
CCPB_BACSU,311,RS19_CHLTR,88,CBRC_ECOLI,195,RS13_MYCMS,121,L0T3X8_MYCTU,594,PUR5_PROMA,345
ADDA_BACSU,1232,RS6_CHLTR,112,ADHP_ECOLI,336,Q6MTJ1_MYCMS,159,SYM_MYCTU,519,RL7_PROMA,130
ALDH2_BACSU,456,RS3_CHLTR,224,ATPA_ECOLI,513,Q6MS42_MYCMS,526,TREZ_MYCTU,580,TPIS_PROMA,243
