Name,Length,Name,Length,Name,Length,Name,Length,Name,Length,Name,Length
A0A077S1I9_CAVPO,162,FAP_CHLVA,654,A0A0Q9VXL2_DROVI,170,AVR1_PHYIT,208,MCA1_PLABA,595,ACE2_YEAST,770
A0A077S6N1_CAVPO,148,E1ZSU1_CHLVA,288,A0A0Q9VXL8_DROVI,59,ABLB2_PHYIT,100,PTKL_PLABA,1313,ASG7_YEAST,209
A0A077SA01_CAVPO,148,E1ZL39_CHLVA,1046,A0A0Q9VXR6_DROVI,2721,ATAT_PHYIT,179,A0A509B126_PLABA,376,ARP3_YEAST,449
A0A096P6K6_CAVPO,1329,E1ZTP4_CHLVA,430,A0A0Q9VXU7_DROVI,2546,RXLAD_PHYIT,229,A0A509AHK8_PLABA,859,ASSY_YEAST,420
A0A0C3SFZ0_CAVPO,1007,E1Z9W8_CHLVA,621,A0A0Q9VXY3_DROVI,478,RXLRX_PHYIT,149,A0A509AKJ5_PLABA,266,BMH1_YEAST,267
A0A0C3SFZ1_CAVPO,515,E1ZI90_CHLVA,1212,A0A0Q9VY01_DROVI,2078,RXLRD_PHYIT,215,A0A509AQ11_PLABA,703,BL1S4_YEAST,122
A0A0M6L0G0_CAVPO,233,E1Z5Q3_CHLVA,156,A0A0Q9VY03_DROVI,432,RD21_PHYIT,97,A0A509AEX8_PLABA,154,BBC1_YEAST,1157
A0A0M6L0L1_CAVPO,264,E1ZTA1_CHLVA,413,A0A0Q9VY04_DROVI,402,RD43_PHYIT,129,A0A509AIS3_PLABA,525,BOL2_YEAST,120
A0A0U5EM95_CAVPO,275,E1ZBF4_CHLVA,142,A0A0Q9VY28_DROVI,1134,RD28_PHYIT,144,A0A509ARY9_PLABA,158,BOP3_YEAST,396
A0A0U5J7H7_CAVPO,185,E1ZHJ8_CHLVA,709,A0A0Q9VY34_DROVI,1789,RXLRL_PHYIT,168,A0A509AN26_PLABA,209,CH10_YEAST,106
A0A1K0H3S3_CAVPO,142,E1ZDZ6_CHLVA,531,A0A0Q9VY47_DROVI,338,CRE17_PHYIT,137,A0A509ALY3_PLABA,1451,2ABA_YEAST,526
A0A1R3UCK7_CAVPO,255,E1Z8Q0_CHLVA,524,A0A0Q9VY49_DROVI,76,CRE6_PHYIT,127,A0A509AN20_PLABA,551,ALO_YEAST,526
A0A1R3UHQ3_CAVPO,253,E1Z8C5_CHLVA,677,A0A0Q9VY50_DROVI,161,A3AEM_PHYIT,147,A0A509ALY0_PLABA,546,AP3S_YEAST,194
A0A286X716_CAVPO,301,E1Z6L9_CHLVA,469,A0A0Q9VY53_DROVI,227,AVNT1_PHYIT,153,A0A509AN66_PLABA,2783,ATN2_YEAST,1091
A0A286X725_CAVPO,543,E1ZII8_CHLVA,227,A0A0Q9VY54_DROVI,664,GUF1_PHYIT,656,A0A509AQT4_PLABA,1037,BUD5_YEAST,642
A0A286X748_CAVPO,167,E1Z390_CHLVA,893,A0A0Q9VY64_DROVI,247,EPIC4_PHYIT,172,A0A509AEK1_PLABA,157,CBF3C_YEAST,478
A0A286X763_CAVPO,188,E1Z7M8_CHLVA,606,A0A0Q9VY67_DROVI,372,RD24_PHYIT,154,A0A509ACW7_PLABA,1177,CDC12_YEAST,407
A0A286X766_CAVPO,139,E1ZPX4_CHLVA,546,A0A0Q9VY69_DROVI,654,RLR24_PHYIT,159,A0A509AQJ4_PLABA,368,ARK1_YEAST,638
A0A286X768_CAVPO,367,E1ZKN2_CHLVA,330,A0A0Q9VY88_DROVI,478,RD15_PHYIT,242,A0A509AMP5_PLABA,1072,BTN2_YEAST,410
A0A286X770_CAVPO,279,E1Z753_CHLVA,134,A0A0Q9VY95_DROVI,160,RD41_PHYIT,102,A0A509AHV8_PLABA,541,BRO1_YEAST,844
A0A286X772_CAVPO,477,E1ZAD2_CHLVA,239,A0A0Q9VYA0_DROVI,593,RD25_PHYIT,305,A0A509ART5_PLABA,1096,BOR1_YEAST,576
A0A286X773_CAVPO,341,E1ZT19_CHLVA,295,A0A0Q9VYA2_DROVI,319,PSR2_PHYIT,760,A0A509AIF6_PLABA,664,BZRD_YEAST,263
A0A286X775_CAVPO,492,E1ZGE5_CHLVA,1220,A0A0Q9VYA7_DROVI,313,KEX1_PHYIT,597,A0A509AKH6_PLABA,971,CAT8_YEAST,1433
A0A286X777_CAVPO,1232,E1ZRQ6_CHLVA,584,A0A0Q9VYA9_DROVI,896,EPI2A_PHYIT,125,A0A509ALQ2_PLABA,153,CAN1_YEAST,590
A0A286X780_CAVPO,161,E1Z9S8_CHLVA,169,A0A0Q9VYB8_DROVI,76,LIPA_PHYIT,383,A0A509ASW7_PLABA,160,C1TC_YEAST,946
A0A286X781_CAVPO,1210,E1ZU64_CHLVA,562,A0A0Q9VYC7_DROVI,340,PKZ1_PHYIT,399,A0A509AVD0_PLABA,777,CCL1_YEAST,393
A0A286X784_CAVPO,134,E1Z1Y1_CHLVA,343,A0A0Q9VYD4_DROVI,469,ITPA_PHYIT,191,A0A509AJZ9_PLABA,345,CEF1_YEAST,590
A0A286X785_CAVPO,148,E1ZF29_CHLVA,418,A0A0Q9VYD9_DROVI,53,ABLB1_PHYIT,152,A0A509ARD6_PLABA,1103,ACEA_YEAST,557
A0A286X787_CAVPO,807,E1ZI01_CHLVA,245,A0A0Q9VYE8_DROVI,162,RD2_PHYIT,121,A0A509AYB6_PLABA,535,3HAO_YEAST,177
A0A286X788_CAVPO,79,E1ZBQ8_CHLVA,622,A0A0Q9VYF0_DROVI,1443,RD44_PHYIT,160,A0A509AN28_PLABA,470,AAD14_YEAST,376
A0A286X789_CAVPO,293,E1ZPF5_CHLVA,784,A0A0Q9VYF9_DROVI,200,PURA_PHYIT,551,A0A509AKV9_PLABA,388,AIM36_YEAST,255
A0A286X791_CAVPO,329,E1ZLF9_CHLVA,648,A0A0Q9VYG4_DROVI,361,RXLRA_PHYIT,170,A0A509AJC8_PLABA,2092,ADP1_YEAST,1049
